 Характеристика	 Тип	Группа	Значение списка	ИзРукВРуки поле	ИзРукВРуки - парсер	Услуга	Жилое, Квартира	Жилое,Комната	Жилое,Дом	Жилое,Дача	Жилое, Участок	Коммерческое,Квартира	Коммерческое,Помещение	Коммерческое,Здание	Другое,Гараж
 Асфальтированный подъезд	 bool	Дополнительные							*	*	*				
 Рядом лес	 bool	Дополнительные							*	*	*				
 Рядом река	 bool	Дополнительные							*	*	*				
 Возможность кредита	 bool	Оплата					*	*	*	*		*	*	*	*
 Является складским	 bool	Основные											*	*	
 Является офисным	 bool	Основные											*	*	
 Является производственным	 bool	Основные											*	*	
 Торговое	 bool	Основные											*	*	
 Под кафе	 bool	Основные											*	*	
 Отдельно стоящее	 bool	Дополнительные											*	*	
 Санузел	 list	Дополнительные	Раздельный, Совмещенный, Отсутствует	Санузел	"{""раздельный"":""Раздельный"",""совмещённый"":""Совмещенный""}"		*								
 Приватизированная	 bool	Дополнительные				Продажа	*	*	*	*	*	*	*	*	
Возможность скидки	 bool	Оплата				Продажа	*	*	*						
 Газ. Котел	 bool	Дополнительные							*				*	*	
 Погреб	bool	Дополнительные													*
 Автоматические ворота	 bool	Дополнительные													*
 Вместимость в машинах	 list	Основные	1,2,3,4,5 и более												+
 Тип гаража	 list	Основные	Металлический, Капитальный, Ракушка 												+
 Смотровая яма	 bool	Основные													*
 Оштукатурен	 bool	Дополнительные													*
 Деревянный пол	 bool	Дополнительные													*
 Высокие ворота	 bool	Дополнительные													 *
 Стеллажи	 bool	Дополнительные													 *
 Отопление	 bool	Дополнительные													 +
 Год постройки	int	Дополнительные		Год постройки дома			 *	*	*	*				*	
 Высота потолков	decimal	Дополнительные		Высота потолков			 *	*	 *			 *			*
 Планировка комнат	list	Дополнительные	Изолированные, Проходные												
 Наличие  домофона	bool	Дополнительные													
 Наличие автостоянки поблизости	bool	Дополнительные													
 Возможность проживания с животными	bool	Дополнительные				Аренда	*	 *	*						
 Возможность проживания с детьми	bool	Дополнительные				Аренда	*	 *	*						
 Наличие канализации	list	Дополнительные	Центральная, Отдельная, Отсутствует							*	 *		 *	 *	
 Наличие остановки общественного транспорта поблизости	bool	Дополнительные		Как			 *	 *	 *						
 Наличие вентиляции	bool	Дополнительные											*	*	 *
 Наличие холодильных камер	bool	Дополнительные											 *	*	
 Вход 	list	Дополнительные	Отдельный, Совмещенный					 *	 *				 *	*	
 Наличие земельного участка	bool	Дополнительные							 *				 *	*	
 Транспортное сообщение	bool	Дополнительные								 *					
 Наличие подсобных помещений	bool	Дополнительные											*	*	
 Наличие окон	bool	Дополнительные											 *		
 Возможность наружной рекламы	bool	Дополнительные										 *	*	 *	
 Наличие лифта	bool	Дополнительные		Есть ли лифт									 *	 *	
Тип аренды	list	Основные	Долгосрочная, Краткосрочная, Помесячная, Посуточная	Тип аренды	"{""долгосрочная аренда"":""Долгосрочная"", ""посуточная"":""Посуточная""}"	Аренда	*	*	*	*	*	*	*	*	*
Комнат сдается	list	Дополнительные	1,2,3,4,5,6 и более	Комнат сдаётся	"{""1"":""1"",""2"":""2"",""3"":""3"",""4"":""4"",""5"":""5"",""6"":""6 и более"",""\d+"":""6 и более""}"	Аренда									
Количество соседей	int	Дополнительные		Количество соседей		Аренда	*	*							
До остановки, минут	int	Дополнительные		До метро, минут			*	*	*	*	*	*	*	*	*
Тип вентиляции	list	Дополнительные	"{""обычная"":}"	Тип вентиляции											
