Юрьевец	Ленинский р-н
"Октябрьский проспект (четн. стор. с № 12 и т.д.; нечетн. стор. с № 21 и т.д.)"	
ул.Октябрьская	
ул.Олега Кошевого	
ул.Ольховка	
ул.Ореховая	
"ул.Осиновая (кв-л жилой застройки ""Лунево"")"	
ул.Осьмова	
ул.Павлика Морозова	
"ул.Пенкинская (кв-л жилой застройки ""Лунево"")"	
ул.Передний Боровок	
ул.Песочная(мкр. Коммунар)	
ул.Подбельского	
"ул.Пойменная (кв-л жилой застройки ""Лунево"")"	
ул.Полевая (мкр. Злобино)	
ул.Полины Осипенко	
ул.Польцо	
ул.Полянка	
ул.Поселковая	
ул.Посёлок Марьино	
ул.Посёлок РТС	
ул.Посёлок Строителей	
ул.Почаевская (с д. № 20 и т.д.)	
ул.Почаевский овраг	
ул.Рабочая	
"ул.Рахмановская (кв-л жилой застройки ""Лунево"")"	
ул.Садовая (мкр. Бухолово)	
ул.Сакко и Ванцетти	
ул.Санаторная	
ул.Свердлова	
ул.Связи	
ул.Северная (с д. № 15 и т.д.)	
ул.Селецкая	
ул.Сергея Лазо	
ул.Собинская	
ул.Советская (мкр. Коммунар)	
ул.Солнечная (мкр. Никулино)	
ул.Сосновая (мкр. Турбаза «Ладога»)	
ул.Спасская	
ул.Столетовых	
проспект Строителей	
ул.Строителей	
ул.Студенческая	
Судогодское шоссе	
ул.Сурикова (четн. стор. с д. № 14 и т.д.)	
ул.Суздальская	
ул.Суходольская	
ул.Токарева	
ул.Толмачевская	
ул.Тракторная	
ул.Труда (с д. № 19 и т.д.)	
ул.Урицкого	
ул.Усти- на- Лабе (нечетн. сторона)	
ул.Урожайная	
ул.Усадебная	
ул.Ущерская	
(мкр.Ущер)	
ул.Фейгина	
ул.Хирурга Контора	
бульвар Художника Иванова	
ул.Центральная (мкр. Аббакумово)	
ул.Центральная (мкр. Вилки)	
ул.Центральная (мкр. Заклязьменский)	
ул.Центральная (мкр. Коммунар)	
ул.Центральная (мкр. Кусуново)	
ул.Центральная (мкр.Уварово)	
ул.Центральная (мкр.Шепелево)	
"ул.Черничная (кв-л жилой застройки ""Лунево"")"	
"ул.Чернораменская (кв-л жилой застройки ""Лунево"")"	
ул.Чернышевского	
ул.Чехова	
ул.Ширманиха	
ул.Шишкина	
ул.Школьная (мкр. Коммунар)	
ул.Шороновка	
ул.Электрозаводская	
Южное шоссе (после моста через р. Клязьму)	
ул.Юрьевская	
ул.Яблочкова	
1-й Кирпичный проезд	
1-й Коллективный проезд	
1-й Муромский переулок	
1-й Толмачевский проезд	
1-й Тупиковый проезд	
1-й Усадебный тупик	
2-й Кирпичный проезд	
2-й Коллективный проезд	
2-й Муромский переулок	
2-й Почаевский проезд	
2-й Толмачевский проезд	
2-й Тупиковый проезд	
2-й Усадебный тупик	
3-й Кирпичный проезд	
3-й Толмачевский проезд	
3-й Тупиковый проезд	
4-й Тупиковый проезд	
5-й Тупиковый проезд	
6-й Тупиковый проезд	
Богословский переулок	
Варваринский проезд	
Владимирский спуск	
Вокзальный переулок	
Вокзальный спуск	
Воронцовский переулок	
Ерофеевский спуск	
Козлов тупик	
Коммунальный спуск	
Костерин переулок	
Красный переулок	
Манежный тупик	
Переулок Сушкова	
Почтовый переулок	
проезд Александра Матросова	
проезд Кулибина	
Промышленный проезд	
Рабочий переулок	
Рабочий спуск (четн. сторона и д. № 1, 3)	
Спортивный переулок	
Толстовский переулок	
Урицкого тупик	
Электроприборовский проезд	
Юрьевский переулок	
Юрьевский проезд	
Оргтруд	Фрунзенский р-н
ул.194-й км	
Лесной	
ул.196-й км	
ул.1-я Лесная (мкр. Оргтруд)	
"ул.1-я Пионерская (четн. стор. с д. № 20 по № 66;"	
нечетн. стор. с д. № 23 по № 53а)	
ул.2-я Лесная (мкр. Оргтруд)	
ул.40 лет Октября	
ул.9-го Октября (мкр. Оргтруд)	
ул.Александра Невского	
ул.Бабушкина	
ул.Баумана	
ул.Безыменского	
ул.Большая Нижегородская (с д. № 62 и т.д.)	
ул.Вокзальная (четн. стор. с д. № 16 и т.д., кроме д. №№ 30,32)	
ул.Верхне-Садовая (мкр. Оргтруд)	
ул.Воронина	
ул.Восточная	
ул.Гагарина (мкр. Оргтруд)	
ул.Гаршина	
ул.Горького (мкр. Оргтруд)	
ул.Грибоедова	
ул.Гуреева (мкр. Оргтруд)	
ул.Дзержинского (мкр. Оргтруд)	
ул.Добросельская	
ул.Егорова	
ул.Жуковского	
ул.Зеленая (мкр. Оргтруд)	
ул.Каманина (с д. № 4 по № 10)	
ул.Кирова (мкр. Оргтруд)	
ул.Комиссарова	
ул.Красносельская	
ул.Куйбышева (с д. № 32 и т.д.)	
ул.Ленина (мкр. Оргтруд)	
ул.Лермонтова	
ул.Лескова	
ул.Лесная (мкр. Лесной)	
ул.Линейная (д. №№ 37, 42)	
ул.Макаренко	
ул.Маяковского (мкр. Оргтруд)	
ул.Маяковского	
ул.Минина	
ул.Молодежная (мкр. Оргтруд)	
ул.Набережная (мкр.Оргтруд)	
ул.Нижне-Садовая (мкр.Оргтруд)	
ул.Новая (мкр. Оргтруд)	
ул.Октябрьская (мкр. Оргтруд)	
ул.Пионерская (мкр. Оргтруд)	
ул.Погодина	
ул.Пожарского	
ул.Почаевская (с д. № 1 по № 19 и № 20а)	
ул.Пушкина (мкр. Оргтруд)	
ул.Рабочая (мкр. Оргтруд)	
ул.Радищева	
ул.Растопчина	
ул.Садоводческая	
ул.Северная (с д. № 1 по № 14)	
ул.Северная (мкр. Оргтруд)	
ул.Соколова-Соколенка	
Соколова Соколенка	
ул.Спортивная (мкр. Оргтруд)	
ул.Станкевича	
ул.Строителей (мкр. Оргтруд)	
ул.Суворова	
Суздальский проспект	
ул.Сунгирская	
ул.Труда (с д. № 1 по № 18)	
ул.Тургенева	
ул.Усти- на- Лабе (четн. сторона)	
ул.Фестивальная	
ул.Фрунзе (мкр. Оргтруд)	
ул.Фурманова	
ул.Хирурга Орлова	
ул.Юбилейная	
1-й проезд	
2-й проезд	
6-й проезд	
Добросельский проезд	
Загородный проезд	
Ковровский проезд	
Константино-Еленинский проезд	
Красносельский проезд	
Лыбедский проезд	
проезд Баумана	
проезд Маяковского	
проезд Пожарского	
проезд Станкевича	
Рабочий спуск (нечетн. стор. с д. № 5 и т.д.)	
Северный проезд	
Фестивальный проезд	
Энергетический проезд	
